name,parent_name,desc,rank
gi-J-KGD,gi-J-HHZ,Trochilinae,subfamily
gi-J-HHZ,gi-J-Q9,Trochilidae,family
gi-J-Q9,gi-J-V2,Apodiformes,order
gi-J-6XWN7,gi-J-7DSF,Schlumbergera truncata (Haw.) Moran,species
gi-J-7DSF,gi-J-93LST,Schlumbergera Lem.,genus
gi-J-93LST,gi-J-7HS,Cactoideae Eaton,subfamily
gi-J-7HS,gi-J-BMH4R,Cactaceae Juss.,family
gi-J-4MQKT,gi-J-6WFQ,"Proechimys decumanus (Thomas, 1899)",species
gi-J-6WFQ,gi-J-JK6,"Proechimys J. A. Allen, 1899",genus
gi-J-JK6,gi-J-9JX,"Eumysopinae Rusconi, 1935",subfamily
gi-J-9JX,gi-J-4L7,"Echimyidae Gray, 1825",family
gi-J-4L7,gi-J-4DX,"Hystricognathi Brandt, 1855",infraorder
gi-J-4DX,gi-J-B6L6L,"Hystricomorpha Brandt, 1855",suborder
gi-J-6FX78,gi-J-4DHT,"Epixerus ebii (Temminck, 1853)",species
gi-J-4DHT,gi-J-L6T,"Epixerus Thomas, 1909",genus
gi-J-L6T,gi-J-KHX,"Protoxerini Moore, 1959",tribe
gi-J-B42WM,gi-J-63SD9,Solanum emulans Raf.,species
gi-J-63SD9,gi-J-628NX,Solanum L.,genus
gi-J-628NX,gi-J-626XM,Solanoideae Burnett,subfamily
gi-J-626XM,gi-J-B7VXK,Solanaceae Juss.,family
gi-J-54CBH,gi-J-7RSR,"Tachycineta stolzmanni (Philippi, 1902)",species
gi-J-7RSR,gi-J-B3Y,"Tachycineta Cabanis, 1850",genus
gi-J-B3Y,gi-J-3RL,"Hirundinidae Rafinesque, 1815",family
gi-J-X22B,gi-J-3S9B,"Coleura seychellensis Peters, 1868",species
gi-J-3S9B,gi-J-8H74Z,"Coleura Peters, 1867",genus
gi-J-8H74Z,gi-J-JHV,"Emballonurini Gervais, 1855",tribe
gi-J-JHV,gi-J-9N2,"Emballonurinae Gervais, 1855",subfamily
gi-J-9N2,gi-J-87BWQ,"Emballonuridae Gervais, 1855",family
gi-J-87BWQ,gi-J-4FX,"Emballonuroidea Gervais, 1855",superfamily
gi-J-5W2MT,gi-J-Z3V,Aporocactus flagelliformis (L.) Lem.,species
gi-J-Z3V,gi-J-93LST,Aporocactus Lem.,genus
