name,parent_name,desc,rank
gi-G-48RM2,gi-G-5TDPH,Odontostephana decipiens Alexander,species
gi-G-5TDPH,gi-G-93LSR,Odontostephana Alexander,genus
gi-G-4PHW2,gi-G-63R55,"Psilopsiagon aymara (Orbigny, 1839)",species
gi-G-63R55,gi-G-628M9,"Psilopsiagon Ridgway, 1912",genus
gi-G-4CZD2,gi-G-63K8W,"Paraliparis impariporus Stein, Chernova & Andriashev, 2001",species
gi-G-63K8W,gi-G-624XH,Paraliparis,genus
gi-G-624XH,gi-G-42M,Liparidae,family
gi-G-5D8MQ,gi-G-8B88,"Zosterops inornatus E. L. Layard, 1878",species
gi-G-8B88,gi-G-J34,"Zosterops Vigors & Horsfield, 1827",genus
gi-G-J34,gi-G-3RL,"Zosteropidae Bonaparte, 1853",family
gi-G-726QF,gi-G-63932,"Lewinia mirifica (Parkes & Amadon, 1959)",species
gi-G-63932,gi-G-FJ9,"Lewinia G. R. Gray, 1855",genus
gi-G-9YNML,gi-G-33LL,Asarum rhombiformis (Gaddy) Sinn,species
gi-G-33LL,gi-G-J6N,Asarum L.,genus
gi-G-J6N,gi-G-6QB,Asaroideae Burnett,subfamily
gi-G-6QB,gi-G-BMH5J,Aristolochiaceae Juss.,family
gi-G-BMH5J,gi-G-MG,Piperales Bercht. & J. Presl,order
gi-G-4TPHK,gi-G-7B4R,Rumex altissimus Wood,species
gi-G-7B4R,gi-G-93LTK,Rumex L.,genus
gi-G-93LTK,gi-G-627KD,Polygonoideae Eaton,subfamily
gi-G-627KD,gi-G-BMH4R,Polygonaceae Juss.,family
gi-G-BMH4R,gi-G-MG,Caryophyllales Juss. ex Bercht. & J. Presl,order
gi-G-5XDQZ,gi-G-62KK5,"Carpodacus synoicus (Temminck, 1825)",species
gi-G-62KK5,gi-G-6244D,"Carpodacus Kaup, 1829",genus
gi-G-6244D,gi-G-3RL,"Fringillidae Leach, 1820",family
gi-G-VJJT,gi-G-3Q7P,Cirsium vulgare (Savi) Ten.,species
gi-G-3Q7P,gi-G-B3HBG,Cirsium Mill.,genus
gi-G-B3HBG,gi-G-622TP,Carduoideae Cass. ex Sweet,subfamily
gi-G-6ZXQ5,gi-G-7P7J,"Streptopelia semitorquata (Rüppell, 1837)",species
gi-G-7P7J,gi-G-JCZ,"Streptopelia Bonaparte, 1855",genus
gi-G-JCZ,gi-G-8GD,Columbinae,subfamily
gi-G-8GD,gi-G-Z8,Columbidae,family
gi-G-Z8,gi-G-V2,Columbiformes,order
gi-G-3V4MG,gi-G-62YHH,Linum arenicola (Small) H. J. P. Winkl.,species
gi-G-62YHH,gi-G-C3F,Linum L.,genus
gi-G-C3F,gi-G-MLP,Linaceae DC. ex Perleb,family
gi-G-5X64K,gi-G-62HRS,Bursera lunanii (Spreng.) C. D. Adams & Dandy ex Proctor,species
gi-G-62HRS,gi-G-7GV,Bursera Jacq. ex L.,genus
gi-G-7GV,gi-G-B7VXJ,Burseraceae Kunth,family
gi-G-3G3GT,gi-G-4NLF,Ginoria ginorioides (Griseb.) Britton,species
gi-G-4NLF,gi-G-628KQ,Ginoria Jacq.,genus
gi-G-628KQ,gi-G-624JG,Lythroideae Juss. ex Arn.,subfamily
gi-G-624JG,gi-G-BMGVG,Lythraceae J. St.-Hil.,family
gi-G-BMGVG,gi-G-MG,Myrtales Juss. ex Bercht. & J. Presl,order
gi-G-54YXX,gi-G-7SZY,"Taterillus tranieri Dobigny, Granjon, Aniskin, Ba & Volobouev, 2003",species
gi-G-7SZY,gi-G-JLF,"Taterillus Thomas, 1910",genus
gi-G-JLF,gi-G-624PH,"Gerbillinae Gray, 1825",subfamily
gi-G-624PH,gi-G-622LW,"Muridae Illiger, 1811",family
gi-G-42MHX,gi-G-63B9H,"Mico humilis (M. van Roosmalen, T. van Roosmalen, Mittermeier & de Fonseca, 1998)",species
gi-G-63B9H,gi-G-7KR,"Mico Lesson, 1840",genus
gi-G-7KR,gi-G-4PM,"Callitrichidae Gray, 1821",family
gi-G-KF8Q,gi-G-37H3,"Balaenoptera edeni Anderson, 1879",species
gi-G-37H3,gi-G-722,"Balaenoptera Lacépède, 1804",genus
gi-G-722,gi-G-62396,"Balaenopteridae Gray, 1864",family
gi-G-62396,gi-G-WP,"Mysticeti Flower, 1864",suborder
gi-G-WP,gi-G-LG,"Cetacea Brisson, 1762",order
gi-G-47WWT,gi-G-65FF,"Notomys amplus Brazenor, 1936",species
gi-G-65FF,gi-G-JXJ,"Notomys Lesson, 1842",genus
gi-G-JXJ,gi-G-624PH,"Murinae Illiger, 1811",subfamily
gi-G-6GNJ3,gi-G-633LL,Erigeron arenarioides (D. C. Eaton ex A. Gray) Rydb.,species
gi-G-633LL,gi-G-J6T,Erigeron L.,genus
gi-G-78GMC,gi-G-64343,"Pseudoscops clamator (Vieillot, 1808)",species
gi-G-64343,gi-G-J6Q,"Pseudoscops Kaup, 1848",genus
gi-G-J6Q,gi-G-GQX,Asioninae,subfamily
gi-G-GQX,gi-G-466,Strigidae,family
gi-G-466,gi-G-V2,Strigiformes,order
gi-G-6Q8SR,gi-G-7PB47,"Libinia emarginata Leach, 1815",species
gi-G-7PB47,gi-G-847HL,"Libinia Leach, 1815",genus
gi-G-847HL,gi-G-7NHHH,"Pisinae Dana, 1851",subfamily
gi-G-7NHHH,gi-G-BRKMP,"Epialtidae MacLeay, 1838",family
gi-G-BRKMP,gi-G-BVFJT,"Majoidea Samouelle, 1819",superfamily
gi-G-BVFJT,gi-G-B94FL,"Heterotremata Guinot, 1977",subsection zoology
gi-G-B94FL,gi-G-B8WMW,"Eubrachyura de Saint Laurent, 1980",section zoology
gi-G-B8WMW,gi-G-7NFJ8,"Brachyura Latreille, 1802",infraorder
gi-G-B9LTW,gi-G-B8VQ5,Equisetum sylvaticum L.,species
gi-G-B8VQ5,gi-G-B8VB5,Equisetum L.,genus
gi-G-B8VB5,gi-G-B8V4C,Equisetaceae Michx. ex DC.,family
gi-G-B8V4C,gi-G-GV,Equisetales DC. ex Bercht. & J. Presl,order
gi-G-GV,gi-G-TP,Polypodiopsida,class
gi-G-47PNM,gi-G-63GCT,"Nonnula rubecula (von Spix, 1824)",species
gi-G-63GCT,gi-G-622HW,"Nonnula P. L. Sclater, 1854",genus
gi-G-622HW,gi-G-3TR,Bucconidae,family
gi-G-BNXJM,gi-G-4NDMT,"Psarocolius bifasciatus yuracares (Orbigny & Lafresnaye, 1838)",subspecies
gi-G-4NDMT,gi-G-6YDP,"Psarocolius bifasciatus (Spix, 1824)",species
gi-G-6YDP,gi-G-BCZ,"Psarocolius Wagler, 1827",genus
gi-G-BCZ,gi-G-3RL,Icteridae,family
gi-G-35Z4H,gi-G-8WF3D,Didymopanax morototoni (Aubl.) Decne. & Planch.,species
gi-G-8WF3D,gi-G-B7XD4,Didymopanax Decne. & Planch.,genus
gi-G-B7XD4,gi-G-B7VYB,Aralioideae Eaton,subfamily
gi-G-B7VYB,gi-G-BMH4H,Araliaceae Juss.,family
gi-G-BMH4H,gi-G-MG,Apiales Nakai,order
gi-G-7D8P8,gi-G-6485C,"Tropidonophis parkeri Malnate & Underwood, 1988",species
gi-G-6485C,gi-G-87CKJ,Tropidonophis,genus
gi-G-87CKJ,gi-G-8G9,Natricinae,subfamily
gi-G-8G9,gi-G-8GK5V,Colubridae,family
gi-G-8GK5V,gi-G-BXVXG,Colubroidea,superfamily
gi-G-6K4PX,gi-G-4LGS,"Furnarius leucopus Swainson, 1838",species
gi-G-4LGS,gi-G-6245S,"Furnarius Vieillot, 1816",genus
gi-G-6245S,gi-G-3RL,Furnariidae,family
gi-G-436BX,gi-G-63B88,Microseris campestris Greene,species
gi-G-63B88,gi-G-JCD,Microseris D. Don,genus
gi-G-JCD,gi-G-622TP,Cichorioideae (Juss.) Chev.,subfamily
gi-G-53TB3,gi-G-7QZ7,"Synallaxis unirufa Lafresnaye, 1843",species
gi-G-7QZ7,gi-G-6245S,"Synallaxis Vieillot, 1818",genus
