name,parent_name,desc,rank
gi-H-4LXK,gi-H-JCZ,"Gallicolumba Heck, 1849",genus
gi-H-85XYX,gi-H-85J2S,"Sagmariasus verreauxi (H. Milne-Edwards, 1851)",species
gi-H-85J2S,gi-H-84KLK,"Sagmariasus Holthuis, 1991",genus
gi-H-84KLK,gi-H-857XK,"Palinuridae Latreille, 1802",family
gi-H-857XK,gi-H-7NFJ8,"Achelata Scholtz & Richter, 1995",infraorder
gi-H-7NFJ8,gi-H-33N,Pleocyemata,suborder
gi-H-FRGB,gi-H-YVF,Apodanthera undulata A. Gray,species
gi-H-YVF,gi-H-8SC,Apodanthera Arn.,genus
gi-H-8SC,gi-H-BMGVP,Cucurbitaceae Juss.,family
gi-H-BMGVP,gi-H-MG,Cucurbitales Juss. ex Bercht. & J. Presl,order
gi-H-6N99S,gi-H-54RZ,"Iotabrycon praecox Roberts, 1973",species
gi-H-54RZ,gi-H-7ZZ,Iotabrycon,genus
gi-H-NN9F,gi-H-62H6F,Buddleja utahensis Coville,species
gi-H-62H6F,gi-H-J92,Buddleja L.,genus
gi-H-J92,gi-H-G5R,Buddlejoideae Engl.,subfamily
gi-H-G5R,gi-H-BMGTX,Scrophulariaceae Juss.,family
gi-H-BMGTX,gi-H-MG,Lamiales Bromhead,order
gi-H-JTHW,gi-H-62DL5,Aureolaria pedicularia (L.) Raf. ex Pennell,species
gi-H-62DL5,gi-H-DQG,Aureolaria Raf.,genus
gi-H-DQG,gi-H-BMGTX,Orobanchaceae Vent.,family
gi-H-34TTN,gi-H-438P,"Dentex hypselosomus Bleeker, 1854",species
gi-H-438P,gi-H-626ZQ,Dentex,genus
gi-H-626ZQ,gi-H-PC,Sparidae,family
gi-H-3B4LD,gi-H-62RM7,Eriogonum coloradense Small,species
gi-H-492B3,gi-H-67H6,"Okapia johnstoni (P. L. Sclater, 1901)",species
gi-H-67H6,gi-H-623HK,"Okapia Lankester, 1901",genus
gi-H-623HK,gi-H-B6L7D,"Giraffidae Gray, 1821",family
gi-H-B6L7D,gi-H-LG,"Artiodactyla Owen, 1848",order
gi-H-59PMC,gi-H-647VS,"Turdus mupinensis Laubmann, 1920",species
